provider_id,measure_id,score,unweighed_patient_experience_of_care_domain_score
40041,MSPB_1,0.98,38
40042,MSPB_1,1.01,28
40050,MSPB_1,0.94,40
40051,MSPB_1,1.06,49
40055,MSPB_1,1.07,33
40062,MSPB_1,1.04,32
40069,MSPB_1,0.95,37
40071,MSPB_1,1.02,32
40072,MSPB_1,0.89,77
40078,MSPB_1,1.03,42
40080,MSPB_1,0.99,18
40084,MSPB_1,0.93,65
40088,MSPB_1,1.07,41
40114,MSPB_1,0.98,45
40118,MSPB_1,0.98,67
40119,MSPB_1,0.98,45
40134,MSPB_1,0.9,83
40137,MSPB_1,1.17,25
50002,MSPB_1,1.09,22
50006,MSPB_1,0.93,15
50007,MSPB_1,0.9,49
50008,MSPB_1,1,16
50009,MSPB_1,0.93,21
50013,MSPB_1,0.9,69
50014,MSPB_1,0.9,32
50017,MSPB_1,0.93,25
50018,MSPB_1,1.02,19
50022,MSPB_1,1.05,14
50024,MSPB_1,1.16,21
50025,MSPB_1,0.97,49
50026,MSPB_1,1,41
50028,MSPB_1,0.9,30
10001,MSPB_1,0.97,45
10005,MSPB_1,0.98,83
10006,MSPB_1,0.99,22
10007,MSPB_1,1.02,28
10011,MSPB_1,0.97,37
10012,MSPB_1,1.01,31
10016,MSPB_1,1.01,30
10019,MSPB_1,1.06,60
10021,MSPB_1,0.96,39
10023,MSPB_1,1.02,47
10024,MSPB_1,1.02,44
10025,MSPB_1,0.87,48
10029,MSPB_1,0.89,69
10033,MSPB_1,0.96,63
10034,MSPB_1,0.92,75
10035,MSPB_1,0.97,72
10036,MSPB_1,0.9,48
10038,MSPB_1,0.98,21
10039,MSPB_1,1.02,50
10040,MSPB_1,1.04,43
10044,MSPB_1,0.81,90
10045,MSPB_1,0.87,99
10046,MSPB_1,1.02,18
10049,MSPB_1,0.93,61
10054,MSPB_1,0.94,41
10055,MSPB_1,1.01,70
10056,MSPB_1,1.03,54
10061,MSPB_1,0.86,37
10065,MSPB_1,1.01,84
10069,MSPB_1,1.04,61
10078,MSPB_1,0.98,32
10079,MSPB_1,0.96,62
10083,MSPB_1,1,64
10085,MSPB_1,0.95,63
10086,MSPB_1,0.99,75
10089,MSPB_1,0.95,32
10090,MSPB_1,0.97,25
10091,MSPB_1,0.92,32
10092,MSPB_1,0.99,60
10099,MSPB_1,1,48
10100,MSPB_1,0.97,66
10101,MSPB_1,0.97,23
10103,MSPB_1,0.99,47
10104,MSPB_1,1.03,70
10108,MSPB_1,1,55
10112,MSPB_1,1.05,34
10113,MSPB_1,0.99,62
10114,MSPB_1,1,33
10118,MSPB_1,0.99,24
10120,MSPB_1,1.03,76
10125,MSPB_1,0.93,32
10126,MSPB_1,0.92,44
10129,MSPB_1,0.85,58
10131,MSPB_1,0.99,62
10139,MSPB_1,1.02,48
10144,MSPB_1,1,52
10146,MSPB_1,1.07,66
10149,MSPB_1,1,51
10150,MSPB_1,0.96,74
10157,MSPB_1,1.06,23
10158,MSPB_1,0.93,58
10164,MSPB_1,0.97,61
20001,MSPB_1,0.89,35
20006,MSPB_1,0.8,35
20008,MSPB_1,0.94,43
20012,MSPB_1,0.77,64
20017,MSPB_1,0.89,23
20024,MSPB_1,0.83,49
20026,MSPB_1,0.83,29
30002,MSPB_1,0.99,52
30006,MSPB_1,1,29
30007,MSPB_1,0.95,53
30010,MSPB_1,0.96,41
30011,MSPB_1,1.02,25
30012,MSPB_1,0.97,20
30013,MSPB_1,1,23
30014,MSPB_1,0.98,16
30016,MSPB_1,0.92,37
30023,MSPB_1,0.9,44
30024,MSPB_1,0.99,33
30030,MSPB_1,0.98,36
30033,MSPB_1,0.95,52
30036,MSPB_1,0.96,31
30037,MSPB_1,0.99,38
30038,MSPB_1,1,17
30043,MSPB_1,0.97,44
30055,MSPB_1,0.9,29
30061,MSPB_1,0.95,55
30062,MSPB_1,0.89,41
30064,MSPB_1,0.97,24
30065,MSPB_1,0.98,34
30069,MSPB_1,0.86,19
30083,MSPB_1,1.02,40
30085,MSPB_1,1,35
30087,MSPB_1,1.03,27
30088,MSPB_1,0.99,41
30089,MSPB_1,0.99,39
30092,MSPB_1,0.97,22
30093,MSPB_1,0.99,45
30094,MSPB_1,1,27
30101,MSPB_1,0.93,26
30103,MSPB_1,0.93,85
30105,MSPB_1,0.99,45
30110,MSPB_1,0.95,28
30111,MSPB_1,0.95,30
30114,MSPB_1,0.92,28
30115,MSPB_1,0.94,62
30117,MSPB_1,0.93,20
30118,MSPB_1,0.94,26
30119,MSPB_1,0.97,38
30121,MSPB_1,1.04,31
30122,MSPB_1,0.96,55
30123,MSPB_1,0.99,39
40001,MSPB_1,0.98,51
40002,MSPB_1,0.9,26
40004,MSPB_1,1.03,45
40007,MSPB_1,0.98,34
40010,MSPB_1,0.95,44
40014,MSPB_1,0.98,34
40015,MSPB_1,1.05,46
40016,MSPB_1,0.98,23
40017,MSPB_1,0.89,28
40018,MSPB_1,1.12,39
40019,MSPB_1,0.94,45
40020,MSPB_1,0.97,44
40022,MSPB_1,1,25
40026,MSPB_1,0.98,29
40027,MSPB_1,0.94,22
40029,MSPB_1,1.02,49
40036,MSPB_1,1.01,48
40039,MSPB_1,1.03,61
50701,MSPB_1,0.97,26
50704,MSPB_1,1.13,19
50709,MSPB_1,0.88,19
50724,MSPB_1,0.95,35
50727,MSPB_1,1.17,10
50732,MSPB_1,0.98,88
50735,MSPB_1,1.32,26
50736,MSPB_1,1.01,12
50737,MSPB_1,1.13,21
50738,MSPB_1,1.24,27
50739,MSPB_1,1.05,17
50740,MSPB_1,1,26
50742,MSPB_1,1.13,47
50744,MSPB_1,1.14,37
50746,MSPB_1,1.06,22
50747,MSPB_1,1.21,29
50755,MSPB_1,1.06,11
50757,MSPB_1,1.11,35
50758,MSPB_1,1.11,34
50761,MSPB_1,1.02,22
50764,MSPB_1,0.96,35
50770,MSPB_1,0.97,39
50771,MSPB_1,1.26,8
60001,MSPB_1,0.98,65
60003,MSPB_1,0.97,46
60004,MSPB_1,0.98,41
60006,MSPB_1,0.96,41
60008,MSPB_1,0.98,11
60009,MSPB_1,0.98,51
60010,MSPB_1,0.94,61
60011,MSPB_1,0.92,26
60012,MSPB_1,1.02,38
60013,MSPB_1,0.93,82
60014,MSPB_1,1.01,33
60015,MSPB_1,1.02,54
60016,MSPB_1,0.92,22
60020,MSPB_1,0.94,38
60022,MSPB_1,1.03,24
60023,MSPB_1,0.99,33
60024,MSPB_1,0.96,56
60027,MSPB_1,0.96,44
60028,MSPB_1,0.94,52
60030,MSPB_1,0.96,68
60031,MSPB_1,1.01,43
60032,MSPB_1,0.97,42
60034,MSPB_1,1.02,31
60036,MSPB_1,0.87,17
60044,MSPB_1,0.96,73
60049,MSPB_1,0.92,82
60054,MSPB_1,0.92,41
60064,MSPB_1,0.97,47
60065,MSPB_1,0.99,27
60071,MSPB_1,0.91,44
60076,MSPB_1,0.94,71
60100,MSPB_1,1.05,34
60103,MSPB_1,0.95,77
60104,MSPB_1,0.97,32
60112,MSPB_1,0.98,46
60113,MSPB_1,1.03,45
60114,MSPB_1,1,52
60116,MSPB_1,0.95,45
60119,MSPB_1,1.05,73
70002,MSPB_1,1.04,35
70003,MSPB_1,1.06,37
70004,MSPB_1,0.95,40
70005,MSPB_1,1.03,24
50030,MSPB_1,0.85,31
50036,MSPB_1,1.04,15
50038,MSPB_1,0.96,44
50039,MSPB_1,0.96,42
50040,MSPB_1,0.82,13
50042,MSPB_1,0.87,36
50043,MSPB_1,1.01,8
50045,MSPB_1,0.92,19
50047,MSPB_1,0.9,25
50054,MSPB_1,0.96,19
50055,MSPB_1,0.9,33
50056,MSPB_1,1.05,31
50057,MSPB_1,0.95,21
50058,MSPB_1,1.05,15
50060,MSPB_1,0.99,30
50063,MSPB_1,1.1,23
50067,MSPB_1,0.92,26
50069,MSPB_1,1.01,32
50077,MSPB_1,1.05,22
50078,MSPB_1,0.97,33
50079,MSPB_1,0.98,8
50082,MSPB_1,1.02,27
50084,MSPB_1,1.01,25
50089,MSPB_1,1.06,26
50090,MSPB_1,0.89,51
50091,MSPB_1,1.01,43
50093,MSPB_1,1,22
50099,MSPB_1,1.04,26
50100,MSPB_1,0.99,62
50101,MSPB_1,0.99,15
50102,MSPB_1,1.12,26
50103,MSPB_1,1.04,45
50104,MSPB_1,1.09,12
50107,MSPB_1,0.93,43
50108,MSPB_1,0.94,33
