hospital_name,state,measure_name,number_of_discharges,number_of_readmissions,excess_readmission_ratio,region_name
"SOUTHEAST ALABAMA MEDICAL CENTER",AL,READM-30-AMI-HRRP,747,119,0.9808,"South Region"
"SOUTHEAST ALABAMA MEDICAL CENTER",AL,READM-30-HF-HRRP,901,171,0.913,"South Region"
"SOUTHEAST ALABAMA MEDICAL CENTER",AL,READM-30-PN-HRRP,368,56,0.969,"South Region"
"MARSHALL MEDICAL CENTER SOUTH",AL,READM-30-HF-HRRP,248,51,0.9453,"South Region"
"MARSHALL MEDICAL CENTER SOUTH",AL,READM-30-PN-HRRP,331,51,0.9377,"South Region"
"ELIZA COFFEE MEMORIAL HOSPITAL",AL,READM-30-AMI-HRRP,310,40,0.9275,"South Region"
"ELIZA COFFEE MEMORIAL HOSPITAL",AL,READM-30-HF-HRRP,652,105,0.8248,"South Region"
"ELIZA COFFEE MEMORIAL HOSPITAL",AL,READM-30-PN-HRRP,793,113,0.9425,"South Region"
"MIZELL MEMORIAL HOSPITAL",AL,READM-30-HF-HRRP,115,29,1.0685,"South Region"
"MIZELL MEMORIAL HOSPITAL",AL,READM-30-PN-HRRP,220,38,1.0439,"South Region"
"ST VINCENT'S EAST",AL,READM-30-AMI-HRRP,239,38,1.0027,"South Region"
"ST VINCENT'S EAST",AL,READM-30-HF-HRRP,388,70,0.9039,"South Region"
"ST VINCENT'S EAST",AL,READM-30-PN-HRRP,484,78,0.9735,"South Region"
"DEKALB REGIONAL MEDICAL CENTER",AL,READM-30-AMI-HRRP,85,16,1.0357,"South Region"
"DEKALB REGIONAL MEDICAL CENTER",AL,READM-30-HF-HRRP,148,37,1.0763,"South Region"
"DEKALB REGIONAL MEDICAL CENTER",AL,READM-30-PN-HRRP,240,33,0.9553,"South Region"
"SHELBY BAPTIST MEDICAL CENTER",AL,READM-30-AMI-HRRP,234,43,1.0405,"South Region"
"SHELBY BAPTIST MEDICAL CENTER",AL,READM-30-HF-HRRP,309,71,1.0205,"South Region"
"SHELBY BAPTIST MEDICAL CENTER",AL,READM-30-PN-HRRP,331,50,0.9347,"South Region"
"HELEN KELLER MEMORIAL HOSPITAL",AL,READM-30-HF-HRRP,305,55,0.9085,"South Region"
"HELEN KELLER MEMORIAL HOSPITAL",AL,READM-30-PN-HRRP,334,49,0.9496,"South Region"
"DALE MEDICAL CENTER",AL,READM-30-HF-HRRP,90,16,0.9321,"South Region"
"DALE MEDICAL CENTER",AL,READM-30-PN-HRRP,166,29,0.9978,"South Region"
"CHEROKEE MEDICAL CENTER",AL,READM-30-HF-HRRP,57,12,1.006,"South Region"
"CHEROKEE MEDICAL CENTER",AL,READM-30-PN-HRRP,97,17,1.0194,"South Region"
"BAPTIST MEDICAL CENTER SOUTH",AL,READM-30-AMI-HRRP,385,69,1.0562,"South Region"
"BAPTIST MEDICAL CENTER SOUTH",AL,READM-30-HF-HRRP,537,123,1.0136,"South Region"
"BAPTIST MEDICAL CENTER SOUTH",AL,READM-30-PN-HRRP,193,40,1.0483,"South Region"
"JACKSON HOSPITAL & CLINIC INC",AL,READM-30-AMI-HRRP,246,31,0.8616,"South Region"
"JACKSON HOSPITAL & CLINIC INC",AL,READM-30-HF-HRRP,537,114,0.9808,"South Region"
"JACKSON HOSPITAL & CLINIC INC",AL,READM-30-PN-HRRP,311,57,1.0374,"South Region"
"GEORGE H. LANIER MEMORIAL HOSPITAL",AL,READM-30-AMI-HRRP,53,12,1.0237,"South Region"
"GEORGE H. LANIER MEMORIAL HOSPITAL",AL,READM-30-HF-HRRP,211,46,1.0141,"South Region"
"GEORGE H. LANIER MEMORIAL HOSPITAL",AL,READM-30-PN-HRRP,114,18,0.9855,"South Region"
"EAST ALABAMA MEDICAL CENTER",AL,READM-30-AMI-HRRP,309,67,1.1755,"South Region"
"EAST ALABAMA MEDICAL CENTER",AL,READM-30-HF-HRRP,782,156,0.9593,"South Region"
"EAST ALABAMA MEDICAL CENTER",AL,READM-30-PN-HRRP,264,30,0.8908,"South Region"
"WEDOWEE HOSPITAL",AL,READM-30-HF-HRRP,60,16,1.038,"South Region"
"WEDOWEE HOSPITAL",AL,READM-30-PN-HRRP,114,28,1.1009,"South Region"
"UNIVERSITY OF ALABAMA HOSPITAL",AL,READM-30-AMI-HRRP,273,58,1.1171,"South Region"
"UNIVERSITY OF ALABAMA HOSPITAL",AL,READM-30-HF-HRRP,568,131,0.9991,"South Region"
"UNIVERSITY OF ALABAMA HOSPITAL",AL,READM-30-PN-HRRP,440,104,1.2007,"South Region"
"COMMUNITY HOSPITAL INC",AL,READM-30-HF-HRRP,111,29,1.0754,"South Region"
"COMMUNITY HOSPITAL INC",AL,READM-30-PN-HRRP,98,19,1.0471,"South Region"
"CULLMAN REGIONAL MEDICAL CENTER",AL,READM-30-AMI-HRRP,106,15,0.9178,"South Region"
"CULLMAN REGIONAL MEDICAL CENTER",AL,READM-30-HF-HRRP,490,113,1.039,"South Region"
"CULLMAN REGIONAL MEDICAL CENTER",AL,READM-30-PN-HRRP,456,78,0.9873,"South Region"
"ANDALUSIA REGIONAL HOSPITAL",AL,READM-30-HF-HRRP,188,37,0.9493,"South Region"
"ANDALUSIA REGIONAL HOSPITAL",AL,READM-30-PN-HRRP,270,49,1.0671,"South Region"
"STRINGFELLOW MEMORIAL HOSPITAL",AL,READM-30-HF-HRRP,229,51,1.0136,"South Region"
"STRINGFELLOW MEMORIAL HOSPITAL",AL,READM-30-PN-HRRP,231,41,1.0238,"South Region"
"HUNTSVILLE HOSPITAL",AL,READM-30-AMI-HRRP,1150,161,0.9154,"South Region"
"HUNTSVILLE HOSPITAL",AL,READM-30-HF-HRRP,1723,388,0.9597,"South Region"
"HUNTSVILLE HOSPITAL",AL,READM-30-PN-HRRP,944,150,0.9045,"South Region"
"GADSDEN REGIONAL MEDICAL CENTER",AL,READM-30-AMI-HRRP,210,46,1.1711,"South Region"
"GADSDEN REGIONAL MEDICAL CENTER",AL,READM-30-HF-HRRP,459,111,1.0289,"South Region"
"GADSDEN REGIONAL MEDICAL CENTER",AL,READM-30-PN-HRRP,437,75,0.9995,"South Region"
"MARION REGIONAL MEDICAL CENTER",AL,READM-30-HF-HRRP,69,16,1.0049,"South Region"
"MARION REGIONAL MEDICAL CENTER",AL,READM-30-PN-HRRP,182,23,0.9453,"South Region"
"FAYETTE MEDICAL CENTER",AL,READM-30-HF-HRRP,113,19,0.9328,"South Region"
"FAYETTE MEDICAL CENTER",AL,READM-30-PN-HRRP,161,32,1.0493,"South Region"
"RIVERVIEW REGIONAL MEDICAL CENTER",AL,READM-30-AMI-HRRP,121,19,0.9857,"South Region"
"RIVERVIEW REGIONAL MEDICAL CENTER",AL,READM-30-HF-HRRP,445,137,1.2238,"South Region"
"RIVERVIEW REGIONAL MEDICAL CENTER",AL,READM-30-PN-HRRP,361,74,1.0867,"South Region"
"GEORGIANA MEDICAL CENTER",AL,READM-30-HF-HRRP,85,24,1.0702,"South Region"
"GEORGIANA MEDICAL CENTER",AL,READM-30-PN-HRRP,118,16,0.9601,"South Region"
"MEDICAL CENTER ENTERPRISE",AL,READM-30-HF-HRRP,173,39,1.0213,"South Region"
"MEDICAL CENTER ENTERPRISE",AL,READM-30-PN-HRRP,187,33,1.0483,"South Region"
"GREENE COUNTY HOSPITAL",AL,READM-30-HF-HRRP,43,16,1.1298,"South Region"
"LAKE MARTIN COMMUNITY HOSPITAL",AL,READM-30-HF-HRRP,46,11,1.0115,"South Region"
"LAKE MARTIN COMMUNITY HOSPITAL",AL,READM-30-PN-HRRP,94,19,1.0393,"South Region"
"DECATUR MORGAN HOSPITAL-PARKWAY CAMPUS",AL,READM-30-HF-HRRP,238,62,1.0903,"South Region"
"DECATUR MORGAN HOSPITAL-PARKWAY CAMPUS",AL,READM-30-PN-HRRP,250,56,1.1188,"South Region"
"FLOWERS HOSPITAL",AL,READM-30-AMI-HRRP,326,60,1.093,"South Region"
"FLOWERS HOSPITAL",AL,READM-30-HF-HRRP,592,132,1.0395,"South Region"
"FLOWERS HOSPITAL",AL,READM-30-PN-HRRP,463,75,1.0118,"South Region"
"ST VINCENT'S BIRMINGHAM",AL,READM-30-AMI-HRRP,278,50,1.0423,"South Region"
"ST VINCENT'S BIRMINGHAM",AL,READM-30-HF-HRRP,550,123,1.0385,"South Region"
"ST VINCENT'S BIRMINGHAM",AL,READM-30-PN-HRRP,494,87,1.0649,"South Region"
"LAWRENCE MEDICAL CENTER",AL,READM-30-HF-HRRP,93,26,1.059,"South Region"
"LAWRENCE MEDICAL CENTER",AL,READM-30-PN-HRRP,148,25,0.9625,"South Region"
"HIGHLANDS MEDICAL CENTER",AL,READM-30-HF-HRRP,146,34,1.0267,"South Region"
"HIGHLANDS MEDICAL CENTER",AL,READM-30-PN-HRRP,390,73,1.0625,"South Region"
"WIREGRASS MEDICAL CENTER",AL,READM-30-HF-HRRP,113,19,0.9273,"South Region"
"WIREGRASS MEDICAL CENTER",AL,READM-30-PN-HRRP,210,37,1.0248,"South Region"
"RUSSELL HOSPITAL",AL,READM-30-AMI-HRRP,65,15,1.052,"South Region"
"RUSSELL HOSPITAL",AL,READM-30-HF-HRRP,197,40,0.9546,"South Region"
"RUSSELL HOSPITAL",AL,READM-30-PN-HRRP,196,34,0.9879,"South Region"
"FLORALA MEMORIAL HOSPITAL",AL,READM-30-HF-HRRP,63,17,1.0678,"South Region"
"MEDICAL CENTER BARBOUR",AL,READM-30-HF-HRRP,117,27,1.0172,"South Region"
"MEDICAL CENTER BARBOUR",AL,READM-30-PN-HRRP,119,21,1.0501,"South Region"
"CLAY COUNTY HOSPITAL",AL,READM-30-HF-HRRP,74,22,1.0999,"South Region"
"CLAY COUNTY HOSPITAL",AL,READM-30-PN-HRRP,113,12,0.9306,"South Region"
"NORTHEAST ALABAMA REGIONAL MED CENTER",AL,READM-30-AMI-HRRP,448,95,1.0717,"South Region"
"NORTHEAST ALABAMA REGIONAL MED CENTER",AL,READM-30-HF-HRRP,712,174,0.9991,"South Region"
"NORTHEAST ALABAMA REGIONAL MED CENTER",AL,READM-30-PN-HRRP,425,84,1.0438,"South Region"
"ATHENS-LIMESTONE HOSPITAL",AL,READM-30-HF-HRRP,201,42,0.9613,"South Region"
"ATHENS-LIMESTONE HOSPITAL",AL,READM-30-PN-HRRP,237,33,0.9116,"South Region"
"SOUTH BALDWIN REGIONAL MEDICAL CENTER",AL,READM-30-HF-HRRP,341,77,1.0023,"South Region"
"SOUTH BALDWIN REGIONAL MEDICAL CENTER",AL,READM-30-PN-HRRP,284,32,0.8499,"South Region"
"DECATUR MORGAN HOSPITAL-DECATUR CAMPUS",AL,READM-30-HF-HRRP,477,88,0.8673,"South Region"
"DECATUR MORGAN HOSPITAL-DECATUR CAMPUS",AL,READM-30-PN-HRRP,362,64,1.0028,"South Region"
"NORTHWEST MEDICAL CENTER",AL,READM-30-HF-HRRP,93,17,0.9494,"South Region"
"NORTHWEST MEDICAL CENTER",AL,READM-30-PN-HRRP,253,47,1.0599,"South Region"
"WALKER BAPTIST MEDICAL CENTER",AL,READM-30-HF-HRRP,245,45,0.9002,"South Region"
"WALKER BAPTIST MEDICAL CENTER",AL,READM-30-PN-HRRP,299,47,0.9347,"South Region"
"PROVIDENCE HOSPITAL",AL,READM-30-AMI-HRRP,210,37,1.0451,"South Region"
"PROVIDENCE HOSPITAL",AL,READM-30-HF-HRRP,590,109,0.8891,"South Region"
"PROVIDENCE HOSPITAL",AL,READM-30-PN-HRRP,499,79,0.9658,"South Region"
"GROVE HILL MEMORIAL HOSPITAL",AL,READM-30-HF-HRRP,62,14,1.0124,"South Region"
"D C H REGIONAL MEDICAL CENTER",AL,READM-30-AMI-HRRP,403,77,1.1065,"South Region"
"D C H REGIONAL MEDICAL CENTER",AL,READM-30-HF-HRRP,1072,252,1.0378,"South Region"
"D C H REGIONAL MEDICAL CENTER",AL,READM-30-PN-HRRP,830,164,1.064,"South Region"
"ELMORE COMMUNITY HOSPITAL",AL,READM-30-HF-HRRP,50,14,1.0609,"South Region"
"ELMORE COMMUNITY HOSPITAL",AL,READM-30-PN-HRRP,69,14,1.049,"South Region"
"D W MCMILLAN MEMORIAL HOSPITAL",AL,READM-30-HF-HRRP,104,26,1.0899,"South Region"
"D W MCMILLAN MEMORIAL HOSPITAL",AL,READM-30-PN-HRRP,167,28,1.0634,"South Region"
"THOMAS HOSPITAL",AL,READM-30-AMI-HRRP,194,35,1.0832,"South Region"
"THOMAS HOSPITAL",AL,READM-30-HF-HRRP,365,67,0.9228,"South Region"
"THOMAS HOSPITAL",AL,READM-30-PN-HRRP,189,23,0.9166,"South Region"
"CITIZENS BAPTIST MEDICAL CENTER",AL,READM-30-HF-HRRP,145,32,0.9877,"South Region"
