provnum,overall_rating,survey_rating,staffing_rating,RN_staffing_rating,quality_rating,ssf,restot,ownership
15009,5,4,4,4,5,N,51,"For profit - Corporation"
335392,1,1,1,1,3,N,180,"For profit - Corporation"
335393,5,3,4,3,5,N,152,"For profit - Corporation"
335394,3,2,4,3,4,N,340,"Non profit - Corporation"
335396,1,2,1,2,2,N,93,"For profit - Corporation"
335397,1,2,1,1,2,N,142,"For profit - Individual"
335398,3,3,1,1,5,N,102,"For profit - Corporation"
335399,2,2,2,1,4,N,163,"For profit - Partnership"
335400,2,3,1,2,4,N,100,"For profit - Corporation"
335401,3,2,3,3,5,N,152,"Non profit - Other"
335402,3,2,4,4,3,N,85,"For profit - Corporation"
15010,4,2,5,5,5,N,74,"Non profit - Other"
335403,3,2,5,5,3,N,165,"Non profit - Corporation"
335404,3,3,3,2,3,N,107,"For profit - Corporation"
335405,1,2,1,1,4,N,324,"Non profit - Corporation"
335406,4,4,3,2,4,N,180,"Government - County"
335407,4,3,2,3,5,N,48,"For profit - Corporation"
335408,5,3,4,3,5,N,27,"For profit - Corporation"
335409,1,1,1,2,4,N,74,"For profit - Corporation"
335410,1,1,1,2,4,N,104,"For profit - Corporation"
335411,4,4,2,4,4,N,183,"For profit - Corporation"
335412,2,1,4,3,3,N,169,"Government - County"
15012,4,3,4,4,2,N,45,"Government - County"
335413,2,1,4,2,3,N,113,"For profit - Partnership"
335415,3,2,0,0,5,N,185,"For profit - Corporation"
335416,5,5,2,3,5,N,343,"For profit - Corporation"
335418,3,2,4,3,4,N,171,"Non profit - Corporation"
335419,5,5,3,3,3,N,78,"Non profit - Church related"
335421,2,2,1,1,5,N,107,"For profit - Corporation"
335422,2,3,1,1,4,N,117,"For profit - Corporation"
335423,3,2,4,4,4,N,158,"Government - County"
335424,4,4,1,1,5,N,194,"Non profit - Corporation"
335425,2,1,4,4,4,N,227,"Government - County"
15014,5,5,5,5,5,N,82,"For profit - Corporation"
335426,5,5,1,2,5,N,313,"For profit - Corporation"
335427,3,3,3,4,4,N,152,"Non profit - Corporation"
335428,5,4,3,2,5,N,158,"Government - County"
