provnum,msr_cd,msr_descr,avg_value,ownership,inhosp,adj_total,adj_rn
15009,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",5.7,"For profit - Corporation",NO,3.80644,0.61047
335392,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",5,"For profit - Corporation",NO,2.58548,0.2412
335393,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",4.3,"For profit - Corporation",NO,3.92595,0.44411
335394,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",2.4,"Non profit - Corporation",NO,4.16761,0.47048
335396,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",19.9,"For profit - Corporation",NO,3.1949,0.34541
335397,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",10.7,"For profit - Individual",NO,2.69132,0.15481
335398,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",8.2,"For profit - Corporation",NO,3.32308,0.27157
335399,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",9.9,"For profit - Partnership",NO,3.99555,0.22652
335400,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",8.3,"For profit - Corporation",NO,2.95724,0.33862
335401,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",9.3,"Non profit - Other",NO,3.54686,0.47761
335402,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",6.4,"For profit - Corporation",NO,4.63343,0.67497
15010,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",4.5,"Non profit - Other",YES,8.96123,1.54976
335403,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",4.8,"Non profit - Corporation",YES,5.39035,0.74719
335404,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",12.3,"For profit - Corporation",NO,3.68712,0.36513
335405,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",3.9,"Non profit - Corporation",NO,2.90712,0.2528
335406,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",6.1,"Government - County",NO,3.90435,0.33929
335407,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",3.4,"For profit - Corporation",NO,3.04702,0.48998
335408,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",9.4,"For profit - Corporation",NO,3.87411,0.43312
335409,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",9.3,"For profit - Corporation",NO,2.40703,0.33602
335410,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",10.3,"For profit - Corporation",NO,3.19519,0.37431
335411,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",13.9,"For profit - Corporation",NO,2.96032,0.56168
335412,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",3.1,"Government - County",NO,4.16762,0.38446
335413,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",5.6,"For profit - Partnership",NO,6.4233,0.32995
335416,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",5,"For profit - Corporation",NO,2.96459,0.39394
335418,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",6.4,"Non profit - Corporation",NO,4.65384,0.48979
335419,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",16.3,"Non profit - Church related",YES,3.56626,0.48167
335421,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",1.9,"For profit - Corporation",NO,3.2433,0.28211
335422,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",7.9,"For profit - Corporation",NO,2.96987,0.27954
335423,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",7.1,"Government - County",NO,3.89124,0.57257
335424,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",8.9,"Non profit - Corporation",NO,2.87422,0.27237
335425,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",6.3,"Government - County",NO,4.37749,0.62455
15014,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",4.9,"For profit - Corporation",NO,4.64293,0.72849
335426,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",14.9,"For profit - Corporation",NO,3.08391,0.37253
335427,403,"Percent of High Risk Long Stay Residents With Pressure Ulcers",4.9,"Non profit - Corporation",NO,3.39581,0.58988
