provider_id,measure_name,score,hcahps_question,hcahps_answer_percent,hcahps_measure_id
480002,ED2,746,"Patients who reported NO, they would probably not or definitely not recommend the hospital",7,H_RECMND_DN
480002,ED2,746,"Patients who reported YES, they would definitely recommend the hospital",50,H_RECMND_DY
480002,ED2,746,"Patients who reported YES, they would probably recommend the hospital",43,H_RECMND_PY
10001,ED2,66,"Patients who reported NO, they would probably not or definitely not recommend the hospital",5,H_RECMND_DN
10001,ED2,66,"Patients who reported YES, they would definitely recommend the hospital",76,H_RECMND_DY
10001,ED2,66,"Patients who reported YES, they would probably recommend the hospital",19,H_RECMND_PY
10005,ED2,65,"Patients who reported NO, they would probably not or definitely not recommend the hospital",2,H_RECMND_DN
10005,ED2,65,"Patients who reported YES, they would definitely recommend the hospital",75,H_RECMND_DY
10005,ED2,65,"Patients who reported YES, they would probably recommend the hospital",23,H_RECMND_PY
10006,ED2,55,"Patients who reported NO, they would probably not or definitely not recommend the hospital",9,H_RECMND_DN
10006,ED2,55,"Patients who reported YES, they would definitely recommend the hospital",51,H_RECMND_DY
10006,ED2,55,"Patients who reported YES, they would probably recommend the hospital",40,H_RECMND_PY
10007,ED2,55,"Patients who reported NO, they would probably not or definitely not recommend the hospital",6,H_RECMND_DN
10007,ED2,55,"Patients who reported YES, they would definitely recommend the hospital",69,H_RECMND_DY
10007,ED2,55,"Patients who reported YES, they would probably recommend the hospital",25,H_RECMND_PY
10008,ED2,50,"Patients who reported NO, they would probably not or definitely not recommend the hospital",4,H_RECMND_DN
10008,ED2,50,"Patients who reported YES, they would definitely recommend the hospital",53,H_RECMND_DY
10008,ED2,50,"Patients who reported YES, they would probably recommend the hospital",43,H_RECMND_PY
10011,ED2,85,"Patients who reported NO, they would probably not or definitely not recommend the hospital",5,H_RECMND_DN
10011,ED2,85,"Patients who reported YES, they would definitely recommend the hospital",74,H_RECMND_DY
10011,ED2,85,"Patients who reported YES, they would probably recommend the hospital",21,H_RECMND_PY
10012,ED2,92,"Patients who reported NO, they would probably not or definitely not recommend the hospital",5,H_RECMND_DN
10012,ED2,92,"Patients who reported YES, they would definitely recommend the hospital",65,H_RECMND_DY
10012,ED2,92,"Patients who reported YES, they would probably recommend the hospital",30,H_RECMND_PY
10016,ED2,95,"Patients who reported NO, they would probably not or definitely not recommend the hospital",6,H_RECMND_DN
10016,ED2,95,"Patients who reported YES, they would definitely recommend the hospital",71,H_RECMND_DY
10016,ED2,95,"Patients who reported YES, they would probably recommend the hospital",23,H_RECMND_PY
10018,ED2,23,"Patients who reported YES, they would definitely recommend the hospital",97,H_RECMND_DY
10018,ED2,23,"Patients who reported YES, they would probably recommend the hospital",3,H_RECMND_PY
10019,ED2,66,"Patients who reported NO, they would probably not or definitely not recommend the hospital",4,H_RECMND_DN
10019,ED2,66,"Patients who reported YES, they would definitely recommend the hospital",76,H_RECMND_DY
10019,ED2,66,"Patients who reported YES, they would probably recommend the hospital",20,H_RECMND_PY
10021,ED2,50,"Patients who reported NO, they would probably not or definitely not recommend the hospital",6,H_RECMND_DN
10021,ED2,50,"Patients who reported YES, they would definitely recommend the hospital",66,H_RECMND_DY
10021,ED2,50,"Patients who reported YES, they would probably recommend the hospital",28,H_RECMND_PY
10022,ED2,69,"Patients who reported NO, they would probably not or definitely not recommend the hospital",3,H_RECMND_DN
10022,ED2,69,"Patients who reported YES, they would definitely recommend the hospital",77,H_RECMND_DY
10022,ED2,69,"Patients who reported YES, they would probably recommend the hospital",20,H_RECMND_PY
10023,ED2,284,"Patients who reported NO, they would probably not or definitely not recommend the hospital",6,H_RECMND_DN
10023,ED2,284,"Patients who reported YES, they would definitely recommend the hospital",73,H_RECMND_DY
10023,ED2,284,"Patients who reported YES, they would probably recommend the hospital",21,H_RECMND_PY
10024,ED2,139,"Patients who reported NO, they would probably not or definitely not recommend the hospital",4,H_RECMND_DN
10024,ED2,139,"Patients who reported YES, they would definitely recommend the hospital",76,H_RECMND_DY
10024,ED2,139,"Patients who reported YES, they would probably recommend the hospital",20,H_RECMND_PY
10025,ED2,76,"Patients who reported NO, they would probably not or definitely not recommend the hospital",9,H_RECMND_DN
10025,ED2,76,"Patients who reported YES, they would definitely recommend the hospital",62,H_RECMND_DY
10025,ED2,76,"Patients who reported YES, they would probably recommend the hospital",29,H_RECMND_PY
10029,ED2,45,"Patients who reported NO, they would probably not or definitely not recommend the hospital",3,H_RECMND_DN
10029,ED2,45,"Patients who reported YES, they would definitely recommend the hospital",78,H_RECMND_DY
10029,ED2,45,"Patients who reported YES, they would probably recommend the hospital",19,H_RECMND_PY
10032,ED2,77,"Patients who reported NO, they would probably not or definitely not recommend the hospital",12,H_RECMND_DN
10032,ED2,77,"Patients who reported YES, they would definitely recommend the hospital",60,H_RECMND_DY
10032,ED2,77,"Patients who reported YES, they would probably recommend the hospital",28,H_RECMND_PY
