provider_id,hospital_ownership,emergency_services,cpcd,pecd,hsbp,readmission,c_diff_compared
40055,Proprietary,Yes,95,33,1.07,16,"Better than the U.S. National Benchmark"
40062,"Voluntary non-profit - Private",Yes,46.67,32,1.04,14,"Better than the U.S. National Benchmark"
40084,"Voluntary non-profit - Private",Yes,46.36,65,0.93,18,"Better than the U.S. National Benchmark"
40134,Proprietary,Yes,95.83,83,0.9,16,"Better than the U.S. National Benchmark"
50022,"Government - State",Yes,71.67,14,1.05,16,"Worse than the U.S. National Benchmark"
50024,"Voluntary non-profit - Church",Yes,78,21,1.16,16,"Better than the U.S. National Benchmark"
50025,"Voluntary non-profit - Other",Yes,40,49,0.97,16,"Worse than the U.S. National Benchmark"
10001,"Government - Hospital District or Authority",Yes,62.5,45,0.97,15,"Better than the U.S. National Benchmark"
10005,"Government - Hospital District or Authority",Yes,61,83,0.98,16,"Better than the U.S. National Benchmark"
10011,"Voluntary non-profit - Private",Yes,52.5,37,0.97,15,"Worse than the U.S. National Benchmark"
10016,"Voluntary non-profit - Church",Yes,88.33,30,1.01,16,"Better than the U.S. National Benchmark"
10019,"Government - Hospital District or Authority",Yes,77,60,1.06,16,"Better than the U.S. National Benchmark"
10021,"Government - Hospital District or Authority",Yes,47,39,0.96,16,"Better than the U.S. National Benchmark"
10023,"Voluntary non-profit - Church",Yes,20.83,47,1.02,16,"Better than the U.S. National Benchmark"
10029,"Government - Hospital District or Authority",Yes,75.83,69,0.89,15,"Better than the U.S. National Benchmark"
10036,Proprietary,Yes,82,48,0.9,16,"Better than the U.S. National Benchmark"
10039,"Government - Hospital District or Authority",Yes,59.17,50,1.02,15,"Better than the U.S. National Benchmark"
10046,Proprietary,Yes,50.83,18,1.02,18,"Worse than the U.S. National Benchmark"
10049,Proprietary,Yes,80,61,0.93,17,"Better than the U.S. National Benchmark"
10055,Proprietary,Yes,96.67,70,1.01,16,"Better than the U.S. National Benchmark"
10078,"Government - Local",Yes,58.33,32,0.98,17,"Better than the U.S. National Benchmark"
10083,Proprietary,Yes,89,64,1,17,"Better than the U.S. National Benchmark"
10085,"Government - Hospital District or Authority",Yes,43,63,0.95,15,"Better than the U.S. National Benchmark"
10089,"Voluntary non-profit - Private",Yes,94,32,0.95,16,"Better than the U.S. National Benchmark"
10092,"Government - Hospital District or Authority",Yes,62.5,60,0.99,17,"Better than the U.S. National Benchmark"
10104,Proprietary,Yes,92.5,70,1.03,15,"Better than the U.S. National Benchmark"
10113,"Voluntary non-profit - Private",Yes,62.5,62,0.99,17,"Better than the U.S. National Benchmark"
10114,"Government - Hospital District or Authority",Yes,57,33,1,15,"Better than the U.S. National Benchmark"
10131,Proprietary,Yes,60.91,62,0.99,16,"Better than the U.S. National Benchmark"
10139,Proprietary,Yes,61.67,48,1.02,17,"Better than the U.S. National Benchmark"
10144,Proprietary,Yes,68.33,52,1,17,"Better than the U.S. National Benchmark"
10149,"Government - Hospital District or Authority",Yes,44,51,1,16,"Better than the U.S. National Benchmark"
10157,"Government - Hospital District or Authority",Yes,65,23,1.06,15,"Better than the U.S. National Benchmark"
20012,"Voluntary non-profit - Other",Yes,36.36,64,0.77,15,"Better than the U.S. National Benchmark"
30013,"Voluntary non-profit - Private",Yes,27.5,23,1,16,"Worse than the U.S. National Benchmark"
30014,Proprietary,Yes,45.83,16,0.98,17,"Worse than the U.S. National Benchmark"
30016,"Voluntary non-profit - Other",Yes,44.55,37,0.92,16,"Worse than the U.S. National Benchmark"
30037,Proprietary,Yes,53.64,38,0.99,15,"Better than the U.S. National Benchmark"
30038,Proprietary,Yes,60.83,17,1,14,"Worse than the U.S. National Benchmark"
30064,"Voluntary non-profit - Private",Yes,45.45,24,0.97,17,"Worse than the U.S. National Benchmark"
30065,"Voluntary non-profit - Private",Yes,55,34,0.98,18,"Better than the U.S. National Benchmark"
30069,Proprietary,Yes,35.83,19,0.86,15,"Worse than the U.S. National Benchmark"
30083,Proprietary,Yes,84.55,40,1.02,16,"Better than the U.S. National Benchmark"
30087,Proprietary,Yes,50,27,1.03,13,"Worse than the U.S. National Benchmark"
30089,"Government - Hospital District or Authority",Yes,62.5,39,0.99,16,"Better than the U.S. National Benchmark"
30092,"Voluntary non-profit - Private",Yes,42.5,22,0.97,15,"Worse than the U.S. National Benchmark"
30101,Proprietary,Yes,56.36,26,0.93,18,"Worse than the U.S. National Benchmark"
30103,"Voluntary non-profit - Private",Yes,69.17,85,0.93,14,"Worse than the U.S. National Benchmark"
30111,"Voluntary non-profit - Private",Yes,31.82,30,0.95,16,"Better than the U.S. National Benchmark"
30123,Proprietary,Yes,57,39,0.99,14,"Worse than the U.S. National Benchmark"
40004,"Government - Local",Yes,55,45,1.03,15,"Better than the U.S. National Benchmark"
40007,"Voluntary non-profit - Private",Yes,45,34,0.98,16,"Better than the U.S. National Benchmark"
40014,"Voluntary non-profit - Private",Yes,65.45,34,0.98,17,"Better than the U.S. National Benchmark"
40020,"Voluntary non-profit - Private",Yes,51.67,44,0.97,16,"Better than the U.S. National Benchmark"
40022,Proprietary,Yes,59.17,25,1,16,"Better than the U.S. National Benchmark"
50701,Proprietary,Yes,57,26,0.97,17,"Better than the U.S. National Benchmark"
50742,Proprietary,Yes,71,47,1.13,18,"Worse than the U.S. National Benchmark"
50744,Proprietary,Yes,50.91,37,1.14,17,"Better than the U.S. National Benchmark"
50764,"Voluntary non-profit - Private",Yes,85.83,35,0.96,16,"Better than the U.S. National Benchmark"
60010,"Voluntary non-profit - Private",Yes,54.55,61,0.94,15,"Worse than the U.S. National Benchmark"
60011,"Government - State",Yes,20.91,26,0.92,16,"Better than the U.S. National Benchmark"
60015,"Voluntary non-profit - Church",Yes,32.5,54,1.02,16,"Worse than the U.S. National Benchmark"
60020,"Voluntary non-profit - Private",Yes,37.5,38,0.94,14,"Better than the U.S. National Benchmark"
60022,"Government - Local",Yes,52.5,24,1.03,13,"Better than the U.S. National Benchmark"
60024,"Government - Hospital District or Authority",Yes,16.67,56,0.96,16,"Worse than the U.S. National Benchmark"
