population_size,poverty_rate,mammogram_rate,uninsured_rate,prim_care_phys_rate,community_health_center_ind
50364,10.7,-1111.1,12.5,47.7,1
174439,9.9,82,57.2,75.7,1
29309,24.5,-1111.1,6.9,37.5,1
21629,18.5,-1111.1,5.3,32.4,1
57441,13.1,-1111.1,19.3,22.6,1
10796,33.6,-1111.1,3,55.6,2
20090,22.3,-1111.1,5,44.8,1
113419,17.6,76.5,25.9,79.4,1
34424,18.7,-1111.1,7.5,58.1,1
24545,17.7,-1111.1,7,28.5,2
42444,17.1,-1111.1,12.6,25.9,1
14055,22.9,-1111.1,4.1,49.8,1
26304,20.6,-1111.1,6.4,53.2,2
13809,16.9,-1111.1,4,43.4,2
14799,14.8,-1111.1,4.3,6.8,1
47753,15.2,-1111.1,13.6,56.5,1
54663,12.7,-1111.1,13.4,65.9,1
13066,24.9,-1111.1,3.4,38.3,1
10814,15.7,-1111.1,3.1,9.2,1
36856,18.9,-1111.1,9.6,65.1,1
13754,18.9,-1111.1,4.1,21.8,1
81324,14.8,-1111.1,25.6,54.1,1
48292,15,-1111.1,12.4,18.6,1
42867,29.9,-1111.1,7.7,91,2
68515,18.7,-1111.1,23.9,33.6,1
78106,11.4,-1111.1,20.1,29.4,1
37490,24.1,-1111.1,9.8,53.3,1
103303,16.7,77.2,27.4,72.6,1
17691,19.8,-1111.1,4.4,130,2
30801,19.5,-1111.1,9.8,45.5,1
25882,17.8,-1111.1,7.7,30.9,1
9172,30.3,-1111.1,2.3,43.6,1
18145,26,-1111.1,4.4,16.5,1
16591,18.6,-1111.1,5.3,18.1,2
98488,15.1,87.6,24.7,90.4,2
53134,16.9,-1111.1,13.7,69.6,1
659503,13.8,85.4,150,157.2,1
14295,18.2,-1111.1,4.2,14,1
89128,17,-1111.1,26.2,59.5,1
34166,15,-1111.1,9.5,29.3,1
133010,15.5,-1111.1,52.8,54.1,2
76135,12.1,-1111.1,20.1,44.7,1
12644,25.4,-1111.1,3.3,7.9,1
22290,30.5,-1111.1,4.8,26.9,1
319510,11.3,81.5,87.2,92.6,1
21055,22.6,-1111.1,5.3,52.2,2
