state,county_name,parameter_name,AVG(daily_hazardous_air_pollutants.arithmetic_mean),lbw,vlbw,premature
AZ,"Apache County","Lead PM2.5 LC",0.002608910891089077,7.1,1.1,13
AZ,"Cochise County","Lead PM2.5 LC",0.004989659863945538,7.6,1.2,10.7
AZ,"Coconino County","Lead PM2.5 LC",0.0018051903114186649,8.2,1,13.5
AZ,"Gila County","Lead PM2.5 LC",0.001993837837837816,7.4,0.9,14.3
HI,"Maui County","Lead PM2.5 LC",0.001648832684824904,7.1,0.9,11.2
NH,"Hillsborough County","Lead PM2.5 LC",0.0024952038369304534,6.6,1.2,9.9
KS,"Brown County","Lead PM2.5 LC",0.002354269005847919,6.6,1.8,10.1
LA,"Bossier Parish","Lead PM2.5 LC",0.002114503816793894,10.3,2,15.9
KS,"Chase County","Lead PM2.5 LC",0.0016896842105263168,6.9,1.7,11.1
IL,"Champaign County","Lead PM2.5 LC",0.0031250434782607874,8.3,1.9,11.4
GA,"Bibb County","Lead PM2.5 LC",0.004139366515837105,12.9,2.8,16.2
ID,"Butte County","Lead PM2.5 LC",0.0019615720524017483,9.3,1.6,13.3
MA,"Suffolk County","Lead PM10 STP",0.0038396270396270325,9,1.8,12.8
MT,"Fergus County","Lead PM2.5 LC",0.0019563981042654034,5.9,0.9,9.4
NM,"Los Alamos County","Lead PM2.5 LC",0.00101923076923077,7.8,1.1,10.8
ME,"Washington County","Lead PM2.5 LC",0.0024462962962962845,5.4,0.8,10.9
IL,"Cook County","Lead PM2.5 LC",0.005133012048192719,9.3,1.8,13.5
LA,"East Baton Rouge Parish","Lead PM2.5 LC",0.0024835991820040828,12,2.6,15.8
NC,"Catawba County","Lead PM2.5 LC",0.004666766917293192,8.2,1.5,11.3
ID,"Custer County","Lead PM2.5 LC",0.006753883495145589,4.4,-1111.1,7.2
IN,"Elkhart County","Lead PM2.5 LC",0.0018256353591160112,6.7,1.4,11.3
WA,"Lewis County","Lead PM2.5 LC",0.001143835616438357,5.7,1,10.4
IL,"DuPage County","Lead PM2.5 LC",0.0023628947368421064,7.1,1.3,11.3
OK,"Ellis County","Lead PM2.5 LC",0.0018184000000000008,4.6,-1111.1,9
MO,"Clay County","Lead PM2.5 LC",0.0018109489051094901,7,1,11.6
GA,"Charlton County","Lead PM2.5 LC",0.002296587030716724,8.1,2.3,11.9
OR,"Multnomah County","Lead PM2.5 LC",0.003097409326424872,6.5,1,10.2
MN,"Hennepin County","Lead PM2.5 LC",0.00251169590643275,7.1,1.3,10.7
NE,"Douglas County","Lead PM2.5 LC",0.002221428571428572,7.8,1.3,13
NC,"Davidson County","Lead PM2.5 LC",0.0018218009478673,9.6,1.6,14.1
GA,"Clarke County","Lead PM2.5 LC",0.016873333333333334,8.9,2,13.9
KY,"Edmonson County","Lead PM2.5 LC",0.0022294840294840306,7.3,1.1,13.3
OR,"Wallowa County","Lead PM2.5 LC",0.0016346153846153858,4.6,0.3,7.5
IN,"Henry County","Lead PM2.5 LC",0.006145448504983368,7.4,1.3,13.3
KY,"Fayette County","Lead PM2.5 LC",0.002953894080996887,8.7,1.7,14.1
AK,"Denali Borough","Lead PM2.5 LC",0.0010000000000000007,-1111.1,-1111.1,-1111.1
GA,"Coffee County","Lead PM2.5 LC",0.00228543046357616,9.6,1.6,14.7
LA,"Orleans Parish","Lead PM2.5 LC",0.003920943396226376,13.6,3.2,19.2
AL,"Jefferson County","Lead PM2.5 LC",0.01094201312910285,11.3,2.5,16.5
MN,"Lake County","Lead PM2.5 LC",0.0012876712328767134,6.3,1.5,8.9
MT,"Powell County","Lead PM2.5 LC",0.001450769230769232,7.9,1.5,10.3
AL,"Lawrence County","Lead PM2.5 LC",0.002971219512195124,9,2,14.2
MI,"Kent County","Lead PM2.5 LC",0.0042096446700507625,7.5,1.5,11.2
MI,"Keweenaw County","Lead PM2.5 LC",0.0011280276816609004,5.2,-1111.1,11.9
MT,"Roosevelt County","Lead PM2.5 LC",0.002554676258992806,6.5,1.4,13.9
